,date,ret
461,1978-08-02,0.0176470596343279
462,1978-08-03,-0.00578034669160843
463,1978-08-04,0.0
464,1978-08-07,0.0174418613314629
465,1978-08-08,0.0
466,1978-08-09,0.0
467,1978-08-10,0.0
468,1978-08-11,0.0
469,1978-08-14,-0.011428571306169
470,1978-08-15,0.0
471,1978-08-16,-0.00578034669160843
472,1978-08-17,0.0
473,1978-08-18,0.0
474,1978-08-21,0.0
475,1978-08-22,0.0
476,1978-08-23,0.0
477,1978-08-24,0.0
478,1978-08-25,0.0
479,1978-08-28,0.0145348841324449
480,1978-08-29,-0.00286532961763442
481,1978-08-30,0.0
482,1978-08-31,0.0201149433851242
483,1978-09-01,0.0
484,1978-09-05,0.0
485,1978-09-06,0.0
486,1978-09-07,0.0
487,1978-09-08,0.0
488,1978-09-11,0.0
489,1978-09-12,0.0
490,1978-09-13,0.0
491,1978-09-14,0.0
492,1978-09-15,0.0
493,1978-09-18,0.0
494,1978-09-19,0.0
495,1978-09-20,0.0
496,1978-09-21,0.0
497,1978-09-22,0.0
498,1978-09-25,0.0
499,1978-09-26,-0.0028169013094157
500,1978-09-27,-0.00564971752464771
501,1978-09-28,0.0198863632977009
502,1978-09-29,-0.0111420610919595
503,1978-10-02,-0.0028169013094157
504,1978-10-03,0.0
505,1978-10-04,0.00282485876232386
506,1979-05-14,
507,1978-10-05,0.0
508,1978-10-06,0.0563380271196365
509,1978-10-09,0.0
510,1978-10-10,0.0133333336561918
511,1978-10-11,-0.0263157896697521
512,1978-10-12,0.010810811072588
513,1978-10-13,0.0160427801311016
514,1978-10-16,0.0
515,1978-10-17,0.0
516,1978-10-18,0.00789473671466112
517,1978-10-19,0.0
518,1978-10-20,0.0
519,1978-10-23,-0.010443864390254
520,1978-10-24,0.00791556760668755
521,1978-10-25,-0.00785340275615454
522,1978-10-26,-0.0237467009574175
523,1978-10-27,0.0
524,1978-10-30,0.0
525,1978-10-31,0.0189189184457064
526,1978-11-01,0.00795756001025438
527,1978-11-02,-0.0526315793395042
528,1978-11-03,-0.00833333376795053
529,1978-11-06,-0.0196078438311815
530,1978-11-07,0.0
531,1978-11-08,
532,1978-11-09,-0.0457142852246761
533,1978-11-10,0.0
534,1978-11-13,0.0
535,1978-11-14,0.0359281450510025
536,1978-11-15,-0.0346820801496506
537,1978-11-16,0.0179640725255013
538,1978-11-17,-0.0176470596343279
539,1978-11-20,-0.056886225938797
540,1978-11-21,0.0
541,1978-11-22,0.0
542,1978-11-24,0.0158730167895555
543,1978-11-27,0.0
544,1978-11-28,0.0
545,1978-11-29,0.0625
546,1978-11-30,0.0058823530562222
547,1978-12-01,0.0
548,1978-12-04,-0.0233918130397797
549,1978-12-05,0.0179640725255013
550,1978-12-06,-0.0294117648154497
551,1978-12-07,0.0242424234747887
552,1978-12-08,
553,1978-12-11,-0.0236686393618584
554,1978-12-12,0.0121212117373943
555,1978-12-13,-0.0119760483503342
556,1978-12-14,0.0
557,1978-12-15,0.0
558,1978-12-18,-0.030303031206131
559,1978-12-19,0.03125
560,1978-12-20,
561,1978-12-21,-0.030303031206131
562,1978-12-22,
563,1978-12-26,0.0
564,1978-12-27,-0.0187500007450581
565,1978-12-28,0.0
566,1978-12-29,0.0
567,1979-01-02,0.028662420809269
568,1979-01-03,0.0
569,1979-01-04,0.015479875728488
570,1979-01-05,0.0
571,1979-01-08,-0.0152439028024673
572,1979-01-09,0.0
573,1979-01-10,0.0
574,1979-01-11,0.0
575,1979-01-12,-0.0123839005827904
576,1979-01-15,0.0
577,1979-01-16,0.0125391846522689
578,1979-01-17,-0.0216718260198832
579,1979-01-18,0.0
580,1979-01-19,0.0
581,1979-01-22,0.0
582,1979-01-23,0.0
583,1979-01-24,0.0
584,1979-01-25,0.0
585,1979-01-26,0.0
586,1979-01-29,0.0
587,1979-01-30,0.0
588,1979-01-31,0.0126582281664014
589,1979-02-01,0.0125000001862645
590,1979-02-02,0.0
591,1979-02-05,0.0
592,1979-02-06,0.0
593,1979-02-07,0.0
594,1979-02-08,0.0
595,1979-02-09,0.0
596,1979-02-12,0.0
597,1979-02-13,0.0
598,1979-02-14,0.0
599,1979-02-15,0.0
600,1979-02-16,0.0
601,1979-02-20,0.0
602,1979-02-21,-0.00308641977608204
603,1979-02-22,0.0
604,1979-02-23,0.00928792543709278
605,1979-02-26,0.0
606,1979-02-27,
607,1979-02-28,0.0
608,1979-03-01,0.0
609,1979-03-02,0.0
610,1979-03-05,0.0
611,1979-03-06,0.0
612,1979-03-07,0.0
613,1979-03-08,0.0
614,1979-03-09,0.02453987672925
615,1979-03-12,0.0
616,1979-03-13,0.0
617,1979-03-14,0.0898203626275063
618,1979-03-15,0.0
619,1979-03-16,0.0
620,1979-03-19,0.0
621,1979-03-20,0.0
622,1979-03-21,0.0
623,1979-03-22,0.0
624,1979-03-23,0.0274725276976824
625,1979-03-26,0.0160427801311016
626,1979-03-27,-0.0421052649617195
627,1979-03-28,0.0
628,1979-03-29,0.0274725276976824
629,1979-03-30,0.0
630,1979-04-02,0.0
631,1979-04-03,0.0160427801311016
632,1979-04-04,0.0
633,1979-04-05,0.0
634,1979-04-06,0.0157894734293222
635,1979-04-09,0.0
636,1979-04-10,-0.00518134701997042
637,1979-04-11,-0.00520833348855376
638,1979-04-12,-0.00523560214787722
639,1979-04-16,0.0210526324808598
640,1979-04-17,0.0
641,1979-04-18,0.0
642,1979-04-19,0.0
643,1979-04-20,-0.0103092780336738
644,1979-04-23,0.0
645,1979-04-24,0.0104166669771075
646,1979-04-25,-0.0103092780336738
647,1979-04-26,0.0104166669771075
648,1979-04-27,0.0
649,1979-04-30,0.0
650,1979-05-01,0.0
651,1979-05-02,0.0
652,1979-05-03,
653,1979-05-04,
654,1979-05-07,
655,1979-05-08,
656,1979-05-09,
657,1979-05-10,0.0463917516171932
658,1979-05-24,0.00985221657902002
659,1979-05-25,
660,1979-05-29,
661,1979-05-30,
662,1979-05-31,
